,address,coordinates
73,"1710 U.S. 287 Frontage Rd, Mansfield, TX 76063, USA","32.5903414,-97.13992308"
74,"555 SW 148th Ave, Davie, FL 33325, USA","26.11225301,-80.348686"
75,"500 J Clyde Morris Blvd, Newport News, VA 23601, USA","37.06424346,-76.48303428"
76,"2150 Hospital Dr, Windom, MN 56101, USA","43.87910241,-95.11331123"
77,"1901 Clinch Ave 4th Floor, Knoxville, TN 37916, USA","35.95703172,-83.9372099"
78,"575 Hill Country Dr, Kerrville, TX 78028, USA","30.04346599,-99.1528689"
79,"3160 Geneva St, Los Angeles, CA 90020, USA","34.06720478,-118.2863921"
80,"11970 N Central Expy Suite 550, Dallas, TX 75243, USA","32.9120385,-96.7667178"
81,"1275 Glenwood Dr, West Monroe, LA 71291, USA","32.50199956,-92.14924684"
82,"830 Kempsville Rd, Norfolk, VA 23502, USA","36.85084267,-76.18962947"
83,"WB VA, Plains Township, PA 18702, USA","41.24810428,-75.83596931"
84,"914 S Scheuber Rd, Centralia, WA 98531, USA","46.71240448,-122.9855806"
85,"205 Orchard Dr, Sisseton, SD 57262, USA","45.65749218,-97.05015718"
86,"500 TX-37, Mt Vernon, TX 75457, USA","33.17671639,-95.23494579"
87,"621 N Franklin St, Red Cloud, NE 68970, USA","40.09153426,-98.52805473"
88,"7555 Pioneers Blvd, Lincoln, NE 68506, USA","40.76924571,-96.61730779"
89,"115 Summers Hospital Rd, Hinton, WV 25951, USA","37.65063595,-80.86029453"
90,"6010 W Amarillo Blvd, Amarillo, TX 79106, USA","35.20367399,-101.906694"
91,"450 E Sigler Ave, Memphis, MO 63555, USA","40.46477539,-92.16495149"
92,"323 S Minnesota St, Crookston, MN 56716, USA","47.772971,-96.61795594"
93,"101 W 8th Ave, Spokane, WA 99204, USA","47.649213,-117.4135954"
94,"7501 Wallace Blvd, Amarillo, TX 79124, USA","35.194182,-101.9270551"
95,"100 Callen Blvd, Summerville, SC 29486, USA","33.068898,-80.095302"
96,"3957 Broadway, New York, NY 10032, USA","40.83976326,-73.94128258"
97,"400 Hospital Rd, Starkville, MS 39759, USA","33.47617386,-88.82060544"
98,"4400 Emile St level 5, Omaha, NE 68105, USA","41.255229,-95.97863498"
99,"1550 N 115th St # 2, Seattle, WA 98133, USA","47.71417239,-122.3368954"
